query_id,query_text,category,priority,is_hard_case
Q0001,please share pricing for 500 3-phase contactors for Metro Fabricators.,Quotation,Medium,False
Q0002,"Extremely unhappy with the service, order ORD-50306 was delivered incomplete.",Complaint,High,False
Q0003,"My order ORD-74686 has not arrived yet, please check",Order Status,Medium,False
Q0004,please share pricing for 250 industrial gaskets for Metro Fabricators.,Quotation,Medium,False
Q0005,What is the status of my order ORD-83000?,Order Status,Medium,False
Q0006,"We are looking to procure 75 solenoid valves, kindly send your best quote",Quotation,Medium,False
Q0007,"I placed an order ORD-11504 3 days back, when will it be delivered?",Order Status,Low,False
Q0008,"Please update me on order ORD-46048, it's been 10 days.",Order Status,Medium,False
Q0009,"Please update me on order ORD-80697, it's been 2 weeks.",Order Status,Medium,False
Q0010,Kindly share the courier tracking number for order ORD-16175,Order Status,Low,False
Q0011,Is there a minimum order quantity for PVC pipe fittings?,General Enquiry,Low,False
Q0012,Order ORD-94259 was supposed to arrive a week ago.,Order Status,Medium,False
Q0013,"We are looking to procure 500 cable glands, kindly send your best quote.",Quotation,Medium,False
Q0014,Could you provide bulk pricing if we order 1000 aluminium extrusions?,Quotation,Medium,False
Q0015,Do you export circuit breakers outside India?,General Enquiry,Medium,False
Q0016,Do you have a catalogue for stainless steel washers?,General Enquiry,Low,False
Q0017,I am cancelling future orders unless order ORD-89818 issue is resolved.,Complaint,High,False
Q0018,The invoice for order ORD-18326 has incorrect GST calculation.,Complaint,Medium,False
Q0019,do you export industrial gaskets outside India?,General Enquiry,Medium,False
Q0020,"Terrible packaging, ball bearings (SKF 6205) were broken when the box was opened.",Complaint,High,False
Q0021,"I need urgent update on oder ORD-13905, production is stalled without it",Order Status,High,False
Q0022,"still waiting for order ORD-70589, any update?",Order Status,Medium,False
Q0023,"I want a refund for order ORD-95181, the quality is very poor",Complaint,High,False
Q0024,"My order ORD-25014 has not arrived yet, please check",Order Status,Medium,False
Q0025,"Please update me on order ORD-70142, it's been a week",Order Status,Medium,False
Q0026,can you track order ORD-26828 for me?,Order Status,Low,False
Q0027,"We received rusted aluminium extrusions, need immediate replacement.",Complaint,High,False
Q0028,"Hi, need a formal quotation for 250 flange couplings for our upcoming project.",Quotation,Medium,False
Q0029,What is the status of my order ORD-30379?,Order Status,Medium,False
Q0030,"Still waiting for order ORD-49117, any update?",Order Status,Medium,False
Q0031,"Hi, need a formal quotation for 5000 3-phase contactors for our upcoming project.",Quotation,Medium,False
Q0032,"The PVC pipe fittings I recieved is damaged, this is unacceptable.",Complaint,High,False
Q0033,Can you send me a quote for 50 units of timing belts?,Quotation,Medium,False
Q0034,"Requesting revised quotation, last quote for control relays has expired.",Quotation,Medium,False
Q0035,Can you send me a quote for 5000 units of industrial gaskets?,Quotation,Medium,False
Q0036,"the industrial gaskets I recieved is damaged, this is unacceptable",Complaint,High,False
Q0037,"I want a refund for order ORD-73699, the quality is very poor.",Complaint,High,False
Q0038,"Order ORD-57052 arrived with wrong items, very disappointed.",Complaint,High,False
Q0039,Your team never responded to my last 3 emails about oder ORD-83000.,Complaint,High,False
Q0040,What would be teh cost for 300 3-phase contactors including GST?,Quotation,Medium,False
Q0041,Could you provide bulk pricing if we oder 50 brass connectors?,Quotation,Medium,False
Q0042,"Need quotation urgently, 250 hydraulic seals required for a tender submission.",Quotation,High,False
Q0043,Can you track order ORD-86622 for me?,Order Status,Low,False
Q0044,What is the warranty period on industrial gaskets?,General Enquiry,Medium,False
Q0045,is there a minimum order quantity for timing belts?,General Enquiry,Low,False
Q0046,Do you provide installation support for ball bearings (SKF 6205)?,General Enquiry,Low,False
Q0047,can I visit your warehouse to see samples of M8 hex bolts?,General Enquiry,Low,False
Q0048,"Still waiting for order ORD-51347, any update?",Order Status,Medium,False
Q0049,Do you offer discount for 5000+ units of conveyor belts?,Quotation,Low,False
Q0050,Please share pricing for 2000 brass connectors for Precision Tools Co.,Quotation,Medium,False
Q0051,Has order ORD-11504 been shipped yet?,Order Status,Medium,False
Q0052,Do you offer discount for 250+ units of hydraulic seals?,Quotation,Low,False
Q0053,The stainless steel washers does not match the specifications quoted earlier,Complaint,High,False
Q0054,could you provide bulk pricing if we oder 250 servo motors?,Quotation,Medium,False
Q0055,"Requesting price list for rubber grommets, quantity around 50 pcs.",Quotation,Medium,False
Q0056,Just checking if you still manufacture pressure gauges,General Enquiry,Low,False
Q0057,The timing belts stopped working within 3 days of delivery,Complaint,High,False
Q0058,Can you send me a quote for 20 units of hydraulic seals?,Quotation,Medium,False
Q0059,Has order ORD-84364 been shipped yet?,Order Status,Medium,False
Q0060,Do you export aluminium extrusions outside India?,General Enquiry,Medium,False
Q0061,What would be the cost for 100 pressure gauges including GST?,Quotation,Medium,False
Q0062,Kindly share the courier tracking number for order ORD-75612.,Order Status,Low,False
Q0063,"Terrible packaging, circuit breakers were broken when the box was opened.",Complaint,High,False
Q0064,could you provide bulk pricing if we order 2000 control relays?,Quotation,Medium,False
Q0065,Do you export ball bearings (SKF 6205) outside India?,General Enquiry,Medium,False
Q0066,The 3-phase contactors does not match the specifications quoted earlier,Complaint,High,False
Q0067,"We are looking to procure 20 flange couplings, kindly send your best quote",Quotation,Medium,False
Q0068,"Need quotation urgently, 300 conveyor belts required for a tender submission",Quotation,High,False
Q0069,I need a quotation for 50 servo motors.,Quotation,Medium,False
Q0070,Is there a minimum order quantity for control relays?,General Enquiry,Low,False
Q0071,Kindly share the courier tracking number for oder ORD-54597.,Order Status,Low,False
Q0072,"send quotation asap for 500 M8 hex bolts, comparing with another vendor",Quotation,High,False
Q0073,Can you track order ORD-30379 for me?,Order Status,Low,False
Q0074,Could you provide bulk pricing if we order 100 M8 hex bolts?,Quotation,Medium,False
Q0075,The carbon brushes does not match the specifications quoted earlier.,Complaint,High,False
Q0076,"Requesting quote for 100 units, and please confirm if defective batch is being replaced.",Complaint,High,True
Q0077,The invoice for order ORD-87397 has incorrect GST calculation.,Complaint,Medium,False
Q0078,Just checking if you still manufacture circuit breakers.,General Enquiry,Low,False
Q0079,"Hi, need a formal quotation for 20 circuit breakers for our upcoming project.",Quotation,Medium,False
